order,context_length,statistic,effect,left_variant,left_traversal,left_region,right_variant,right_traversal,right_region,repetitions,mean,standard_deviation,ci95_lower,ci95_upper
24,7,mean_gain,gain_over_fair,permute_rows_fixed_anchor,columns,all,fair_coin,columns,all,20,0.03238988311898461,0.0014449328019432736,0.031767601862259395,0.033011413535831355
24,7,mean_gain,gain_over_fair,permute_rows_fixed_anchor,rows,all,fair_coin,rows,all,20,0.15249982609128837,0.019230247770772264,0.14446917586586738,0.16057807065508736
24,8,mean_gain,gain_over_fair,catalog,columns,all,fair_coin,columns,all,20,0.15927647770954473,0.02066605278137021,0.1502551276707122,0.1679255029732461
24,8,mean_gain,gain_over_fair,catalog,columns,exclude_first_column,fair_coin,columns,exclude_first_column,20,0.1401954150723413,0.02162645005590946,0.13058902044522372,0.1491614354770328
24,8,mean_gain,gain_over_fair,catalog,columns,exclude_first_row,fair_coin,columns,exclude_first_row,20,0.1588066414198458,0.021794340324845424,0.1492453800811681,0.16802694337344737
24,8,mean_gain,gain_over_fair,catalog,columns,interior,fair_coin,columns,interior,20,0.1403459045309373,0.022822889985339757,0.13040734872032314,0.14980198729491864
24,8,mean_gain,gain_over_fair,catalog,rows,all,fair_coin,rows,all,20,0.16572549088441907,0.01931592127392995,0.15725007725508164,0.17387775519656087
24,8,mean_gain,gain_over_fair,catalog,rows,exclude_first_column,fair_coin,rows,exclude_first_column,20,0.16925249750991367,0.02068978927934251,0.16022689864786976,0.1779552108220066
24,8,mean_gain,gain_over_fair,catalog,rows,exclude_first_row,fair_coin,rows,exclude_first_row,20,0.1468746974491308,0.020301816114757565,0.13818693319444564,0.15555194229613423
24,8,mean_gain,gain_over_fair,catalog,rows,interior,fair_coin,rows,interior,20,0.15113313202994552,0.021767240844938814,0.14170039647715563,0.16028690850990568
24,8,mean_gain,gain_over_fair,permute_both_fixed_anchor,columns,all,fair_coin,columns,all,20,0.03310839221474149,0.0022798635114745468,0.032131239763618966,0.0340884254546978
24,8,mean_gain,gain_over_fair,permute_both_fixed_anchor,rows,all,fair_coin,rows,all,20,0.032120671237518265,0.0019636431883236455,0.03128870811888499,0.03297719995213763
24,8,mean_gain,gain_over_fair,permute_both_renormalized,columns,all,fair_coin,columns,all,20,0.03294302595474048,0.0018474552384789514,0.03214171328602361,0.033718483736313976
24,8,mean_gain,gain_over_fair,permute_both_renormalized,rows,all,fair_coin,rows,all,20,0.03251085719835066,0.0021678870466658676,0.03159698745710979,0.03346245143827498
