order,presentation,block_size,stage,policy,repetitions,mean_states,mean_feasible_candidates,mean_percentile,mean_percentile_minus_random,percentile_effect_ci95_lower,percentile_effect_ci95_upper,mean_reciprocal_rank,mean_top_decile_rate,mean_expected_top1_rate
28,catalog,4,middle,all_pair_product,20,489.6,15.139130655847485,0.833558138110295,0.33355813811029494,0.33040247803303135,0.3367627166360371,0.6002574103218205,0.5830567666515883,0.43880072668008757
28,catalog,4,middle,balance_only,20,489.6,15.139130655847485,0.5831696110990416,0.08316961109904168,0.07837064053320504,0.08799317699926121,0.2053437625065178,0.008683819117293486,0.08977059801872236
28,catalog,4,middle,balance_pressured_pair,20,489.6,15.139130655847485,0.6464426957035014,0.1464426957035014,0.14123295465398475,0.1514676392831492,0.2961008551387601,0.22846501497157537,0.14683431753887952
28,catalog,4,middle,balance_random_pair,20,489.6,15.139130655847485,0.6092722789419822,0.10927227894198217,0.10439602543700303,0.11436028996860537,0.25171271117574084,0.16611880353149688,0.11616102285407266
28,catalog,4,middle,minimum_max_pressure,20,489.6,15.139130655847485,0.7010966277936748,0.20109662779367463,0.19731775814204916,0.20510912011403515,0.3513632349274995,0.2784791637633851,0.2319129234816481
28,catalog,4,middle,random_order,20,489.6,15.139130655847485,0.5,0.0,0.0,0.0,0.12805520904742235,0.0,0.06880746962740629
28,catalog,8,early,all_pair_product,20,500.0,256.0,0.82455234375,0.32455234374999997,0.32142460449218757,0.3276934375000001,0.15374344782719157,0.5354,0.08988896520146523
28,catalog,8,early,balance_only,20,500.0,256.0,0.6301310546875001,0.13013105468750003,0.12644344726562498,0.1336681005859375,0.01616050984743471,0.0,0.0057171428571428425
28,catalog,8,early,balance_pressured_pair,20,500.0,256.0,0.6575169921874999,0.15751699218749998,0.152641025390625,0.1625438671875,0.023782918545006967,0.1865,0.008039166666666653
28,catalog,8,early,balance_random_pair,20,500.0,256.0,0.631901171875,0.131901171875,0.12807439453125,0.13582504882812496,0.02129167568143937,0.1705,0.007270873015873003
28,catalog,8,early,minimum_max_pressure,20,500.0,256.0,0.6864583984375001,0.18645839843749998,0.18296013671875,0.18993895996093751,0.07011727020593977,0.2157,0.04893247441341258
28,catalog,8,early,random_order,20,500.0,256.0,0.5,0.0,0.0,0.0,0.007782101167315149,0.0,0.00390625
28,catalog,8,middle,all_pair_product,20,500.0,188.6068,0.9297335681703813,0.42973356817038144,0.42793940828617155,0.43155058389106976,0.46065549600646427,0.7833,0.36528267857142854
28,catalog,8,middle,balance_only,20,500.0,188.6068,0.6401528139463666,0.14015281394636667,0.13578975820302003,0.14472719954238514,0.021737401143745446,0.0066,0.00869092394981787
28,catalog,8,middle,balance_pressured_pair,20,500.0,188.6068,0.7167159851719261,0.21671598517192603,0.2128312861258608,0.2208874848536496,0.04218812025263722,0.3147,0.015482980425140458
28,catalog,8,middle,balance_random_pair,20,500.0,188.6068,0.690925618251865,0.19092561825186488,0.18649887540606971,0.19548666152757807,0.03488368071916018,0.22590000000000005,0.012314845354199813
28,catalog,8,middle,minimum_max_pressure,20,500.0,188.6068,0.8320251723345476,0.3320251723345476,0.32959713861046624,0.3344515906655928,0.14107413805944885,0.44580000000000003,0.09827134371455928
28,catalog,8,middle,random_order,20,500.0,188.6068,0.5,0.0,0.0,0.0,0.011539579526316153,0.0,0.005807871842026752
